Cliente,Veiculo,Data,Inicio,Fim,Registros CAN,Km Inicial,Km Final,Km Percorrido,Consumo Combustivel (L),Horas Motor,Media Km/L,Velocidade Media,Velocidade Maxima,Temperatura Motor Media,Temperatura Motor Maxima,Temperatura Ambiente Media,Pressao Ar Media,Pressao Ar Maxima,Economia Combustivel Media,Temperatura Cabine Media
Londrina,1165,27-06-2026,27-06-2026 20:00:00,27-06-2026 22:25:47,3968,101253,101278,25,9.897,0,2.526017985248055,26.41521486643438,63,85.6086956521739,88,25.130434782608695,1019.904,1072,14296.515513126491,
Londrina,1165,28-06-2026,28-06-2026 00:24:49,28-06-2026 21:45:28,27292,101278,101433,155,64.52,8,2.4023558586484812,25.211515863689776,66,84.8344827586207,91,28.484496124031008,1022.0425531914893,1088,15074.60465116279,0
Londrina,1165,29-06-2026,29-06-2026 02:56:16,29-06-2026 02:56:20,5,,,,,,,,,,,34,544,544,,
Londrina,1166,27-06-2026,27-06-2026 20:05:34,27-06-2026 20:22:42,795,,,,0.607,0,,8.864583333333334,21,55.57575757575758,72,25.923076923076923,1040.5057471264367,1104,21075.833333333332,
Londrina,1167,27-06-2026,27-06-2026 20:00:00,27-06-2026 23:59:18,14073,101322,101399,77,27.012,2,2.8505849252184214,24.168453916112394,66,89.90849673202614,96,25.710247349823323,1045.1456888007929,1088,18081.959811461176,
Londrina,1167,28-06-2026,28-06-2026 00:02:19,28-06-2026 20:42:32,40876,101399,101611,212,77.203,10,2.7460072795098633,24.568006930642614,66,88.65429234338747,96,30.61382598331347,1046.040187541862,1104,18701.517874351797,0
Londrina,2103,28-06-2026,28-06-2026 16:02:22,28-06-2026 16:03:08,47,348846,348846,0,227.812,22127,0,0,0,15.666666666666666,24,0,0,0,0,0
Londrina,2104,27-06-2026,27-06-2026 20:49:32,27-06-2026 21:05:22,946,,,,0,,,9.526315789473685,24,48.666666666666664,66,,,,,
Londrina,2104,28-06-2026,28-06-2026 15:53:56,28-06-2026 15:55:01,66,362551,362551,0,0,0,,0,0,45,66,0,0,0,0,0
Londrina,2106,28-06-2026,28-06-2026 15:49:23,28-06-2026 15:49:57,35,334120,334120,0,0,0,,0,0,43.5,65,0,0,0,0,0
